Comment,Designator,Footprint,LCSC
5.1K,"R1,R2",R0805,C17724
MX128-2.54-GN01-06P-CU-Y-A,U1,CONN-TH_6P-P2.54_MX128-2.54-6P,C5188446
XY308-2.54-4P,CN1,CONN-TH_XY308-2.54-4P,C915913
