Comment,Designator,Footprint,LCSC
RP2040-ZERO,U1,COMM-SMD_RP2040-ZERO,C5350143
GT-TC030A-H020-L1N,"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW3,SW4,SW5,SW6,SW7,SW8,SW9",SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,C843670
