Comment,Designator,Footprint,LCSC
74AHCT1G32SE-7,U1,SOT65P210X110-5N,C151417
Conn_01x03,J1,JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical,C160353
C_Small,"C1,C10,C11,C12,C13,C14,C15,C16,C2,C3,C4,C5,C6,C7,C8,C9",C_0805_2012Metric,C187926
316,R1,R_0805_2012Metric,C218510
LTST-A683CEGBW1,"U10,U11,U12,U13,U14,U15,U16,U17,U2,U3,U4,U5,U6,U7,U8,U9",LTST-A683CEGBW,C5149201
